discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
25,18.99,Flocking Lining Knit Sweatshirt O Ring A Quarter Zip Stand Collar Heathered Sweatshirt,33.49,8459850,"Gender:For Men;Clothes Type:Sweatshirts;Style:Casual,Fashion;Occasions:Daily;Fit Type:Regular Fit;Collar:Stand Collar;Length:Regular;Sleeve Length:Long Sleeves;Pattern Type:Others;Embellishment:Zip Front;Material:Polyester;Fabric Stretch:Slight Stretch;Season:Fall,Winter;Thickness:Standard;Weight:0.3550kg",https://www.dresslily.com/flocking-lining-knit-sweatshirt-o-product8459850.html,0
32,28.99,Fire Ice Print Hoodie Pocket Drawstring Long Sleeve Sweatshirt With Hood,51.79,8458643,"Gender:For Men;Clothes Type:Hoodies;Style:Casual,Fashion;Occasions:Daily;Collar:Hooded;Sleeve Length:Long Sleeves;Pattern Type:Print;Embellishment:Pocket;Material:Polyester,Spandex;Fabric Stretch:Slight Stretch;Season:Fall;Weight:0.5000kg",https://www.dresslily.com/fire-ice-print-hoodie-pocket-product8458643.html,5
27,24.99,Cat And Fist Print Drawstring Hoodie Kangaroo Pocket Ribbed Hem Hoodie,41.09,8460020,"Gender:For Men;Clothes Type:Hoodies;Style:Casual;Occasions:Daily;Fit Type:Regular Fit;Collar:Hooded;Length:Regular;Sleeve Length:Long Sleeves;Pattern Type:Cat;Embellishment:Front Pocket;Material:Polyester,Spandex;Fabric Stretch:Slight Stretch;Season:Fall,Spring;Weight:0.4150kg",https://www.dresslily.com/cat-and-fist-print-drawstring-product8460020.html,3
30,32.99,Pintuck Detail Kangaroo Pocket Fleece Hoodie,61.48,8373135,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Others;Season:Fall,Winter;Weight:0.7600kg",https://www.dresslily.com/pintuck-detail-kangaroo-pocket-fleece-product8373135.html,0
26,29.99,Textured Plain Color Hoodie Kangaroo Pocket Drawstring Applique Casual Hoodie,44.87,8453010,"Gender:For Men;Clothes Type:Hoodies;Style:Casual;Occasions:Daily;Fit Type:Regular Fit;Collar:Hooded;Shirt Length:Regular;Sleeve Length:Full;Pattern Type:Solid Color;Embellishment:Applique;Material:Polyester;Fabric Stretch:Slight Stretch;Season:Fall,Spring;Weight:0.5050kg",https://www.dresslily.com/textured-plain-color-hoodie-kangaroo-product8453010.html,2
30,26.99,Cute Fleece Lining Hoodie With Cat Ear Pure Color Kangaroo Pocket Drawstring Hoodie,47.18,8453801,"Gender:For Men;Clothes Type:Hoodies;Style:Casual;Occasions:Daily;Fit Type:Regular Fit;Collar:Hooded;Sleeve Length:Long Sleeves;Pattern Type:Solid Color;Material:Cotton,Polyester;Fabric Stretch:Slight Stretch;Season:Fall,Winter;Weight:0.5600kg",https://www.dresslily.com/cute-fleece-lining-hoodie-with-product8453801.html,5
29,29.99,Gothic Hooded Cape and Mask Top Two Piece Sets,55.99,8345299,"Occasion:Daily,Party;Style:Gothic;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Spandex;Thickness:Regular;Patterns:Solid;Season:Fall,Spring;Weight:0.5500kg",https://www.dresslily.com/gothic-hooded-cape-and-mask-product8345299.html,2
37,32.99,Side Lace Up Fleece Gothic Hoodie,68.78,8230655,"Clothes Type:Hoodie Jacket;Occasion:Daily;Style:Gothic;Fit Type:Regular;Shirt Length:Long;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Thick;Patterns:Solid;Season:Fall,Spring,Winter;Weight:0.7500kg",https://www.dresslily.com/side-lace-up-fleece-gothic-product8230655.html,26
34,28.99,Leopard Ombre Print Kangaroo Pocket Hoodie,52.83,8347772,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Fabric Stretch:No Stretch;Thickness:Regular;Patterns:Leopard;Season:Fall,Spring,Winter;Weight:0.6000kg",https://www.dresslily.com/leopard-ombre-print-kangaroo-pocket-product8347772.html,0
37,26.99,Galaxy Black Hole Print Hoodie Kangaroo Pocket Drawstring Casual Hoodie,58.81,8455774,"Gender:For Men;Clothes Type:Hoodies;Style:Casual,Fashion;Occasions:Daily;Fit Type:Regular Fit;Collar:Hooded;Length:Regular;Sleeve Length:Long Sleeves;Pattern Type:Galaxy;Embellishment:Front Pocket;Material:Polyester,Spandex;Fabric Stretch:Slight Stretch;Season:Fall,Spring;Weight:0.5000kg",https://www.dresslily.com/galaxy-black-hole-print-hoodie-product8455774.html,1
29,26.99,Forest Reflective Landscape Print Casual Hoodie Kangaroo Pocket Drawstring Drop Shoulder Hoodie,48.99,8457811,"Gender:For Men;Clothes Type:Hoodies;Style:Casual;Occasions:Daily;Fit Type:Regular Fit;Collar:Hooded;Length:Regular;Sleeve Length:Long Sleeves;Pattern Type:Landscape;Embellishment:Front Pocket;Material:Polyester,Spandex;Fabric Stretch:Slight Stretch;Season:Fall,Spring;Weight:0.5000kg",https://www.dresslily.com/forest-reflective-landscape-print-casual-product8457811.html,0
29,28.99,Contrasting Letter Slogan Print Graphic Hoodie Kangaroo Pocket Drawstring Casual Hoodie,49.34,8462657,"Gender:For Men;Clothes Type:Hoodies;Style:Casual,Fashion;Occasions:Daily;Fit Type:Regular Fit;Collar:Hooded;Sleeve Length:Long Sleeves;Pattern Type:Letter;Embellishment:Front Pocket;Material:Polyester,Spandex;Fabric Stretch:Slight Stretch;Season:Fall,Spring;Weight:0.5000kg",https://www.dresslily.com/contrasting-letter-slogan-print-graphic-product8462657.html,1
25,26.99,Letter Slogan Print Graphic Hoodie Drop Shoulder Drawstring Front Pocket Hoodie,46.89,8457773,"Gender:For Men;Clothes Type:Hoodies;Style:Casual;Occasions:Daily;Fit Type:Regular Fit;Collar:Hooded;Length:Regular;Sleeve Length:Long Sleeves;Pattern Type:Letter,Striped;Material:Polyester,Spandex;Fabric Stretch:Slight Stretch;Season:Fall,Spring;Weight:0.5000kg",https://www.dresslily.com/letter-slogan-print-graphic-hoodie-product8457773.html,4
23,24.99,Letter Slogan Pistol Print Graphic Hoodie Kangaroo Pocket Drawstring Drop Shoulder Hoodie,45.49,8457765,"Gender:For Men;Clothes Type:Hoodies;Style:Casual,Fashion;Occasions:Daily;Fit Type:Regular Fit;Collar:Hooded;Length:Regular;Sleeve Length:Long Sleeves;Pattern Type:Graphic,Letter;Embellishment:Front Pocket;Material:Polyester,Spandex;Fabric Stretch:Slight Stretch;Season:Fall,Spring;Weight:0.5000kg",https://www.dresslily.com/letter-slogan-pistol-print-graphic-product8457765.html,0
35,22.99,Textured Hoodie Plain Color Drawstring Long Sleeve Kangaroo Pocket Sweatshirt With Hood,45.88,8466790,"Gender:For Men;Clothes Type:Hoodies;Style:Casual,Fashion;Occasions:Daily;Collar:Hooded;Sleeve Length:Long Sleeves;Pattern Type:Solid Color;Embellishment:Pocket;Material:Polyester;Fabric Stretch:Slight Stretch;Season:Fall,Winter;Weight:0.4700kg",https://www.dresslily.com/textured-hoodie-plain-color-drawstring-product8466790.html,0
37,26.99,Color Block Raglan Sleeve Hoodie,52.78,2861950,"Clothes Type:Hoodie;Occasion:Casual ,Going Out,Sports;Style:Casual;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Solid;Weight:0.6400kg",https://www.dresslily.com/color-block-raglan-sleeve-hoodie-product2861950.html,3
29,28.99,Abstract Print Zip Up Pockets Hoodie,52.16,8161275,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Thickness:Regular;Closure Type:Zipper;Patterns:Print;Season:Fall,Spring;Weight:0.5600kg",https://www.dresslily.com/abstract-print-zip-up-pockets-product8161275.html,1
