color,product_id,rating,size,text,timestamp
BLACK,8453801,5,XL,NiceCuteGood quality,1678594023
BLACK,8453801,5,XXL,#The fabric feels great##Received the item on time##Looks exaclty like the pictures##True to size and fits well#,1675981574
BLACK,8453801,5,M,"Cute, my daughter loved it",1670908767
BLACK,8453801,5,L,NiceCuteReceived it on timeGood quality,1669414341
multicolor,8455774,5,2XL,NiceCuteReceived it on timeSatisfactory Customer ServiceGood quality,1673709920
LIGHT GRAY,8453010,5,XL,Good qualityNiceit was a gift for my partner and he loved it and it fit just right,1682276026
LIGHT GRAY,8453010,5,M,Received it on time. But it was bigger than I expected,1677581905
DARK GRAY,7704360,5,2XL,Received it on time Good quality Cute Nice,1674128383
DARK GRAY,7704360,5,L,really like the asymmetrical design,1572000361
multicolor,8458643,5,M,when we first ordered it this item was out of stock - we waited patiently for it to arrive & we weren't disappointed. comfortable/cosy jumper.,1667425544
multicolor,8458643,5,2XL,CuteNice,1673132637
multicolor,8458643,5,L,#very warm according to my son# #thinner fabric than I expected# #looks great# # he's happy#,1673129326
multicolor,8458643,5,L,My son likes it. Light and great for around the house or summer time.,1672711812
multicolor,8458643,5,S,NiceCuteReceived it on timeGood qualitySatisfactory Customer ServiceNot what I expected,1669517729
ARMY GREEN,7838964,5,M,Received it on time. Nice. I love this piece,1677581936
multicolor,8352483,4,L,"Nice, Received it on time, Good quality,Satisfactory Customer Service",1675410887
LIGHT COFFEE,8352502,5,L,The hoodie is really nice and the fabric is soft and pleasant. The print quality is amazing! My husband loves it.,1654443606
BLACK,8460020,5,L,"I absolutely love love love this sweater! even my husband loves it and wanted me to order a second one for him! maybe he is just super obsessed with our cat, Samantha, but either way this item was a total game changer",1673588825
BLACK,8460020,5,XL,"Good quality, my boyfriend loves it",1670643675
DARK GRAY,8460020,5,L,"Good quality, my Boyfriend loved it !",1668930940
multicolor,8352475,5,S,Nice Cute Received it on timeparfait exactement ce que j'attendais,1617225318
RED,8191569,5,L,Love,1605829206
BLACK,8198457,5,2XL,Nice,1638082416
BLACK,8198457,5,M,Very stylish!,1579931006
BROWN BEAR,8198457,5,M,Very unique.  Fits well,1579930922
WHITE,8198595,5,M,NiceCuteReceived it on timeSatisfactory Customer ServiceGood quality,1673710000
WHITE,8199852,5,M,Great,1621731553
BLACK,3177689,5,L,Good quality,1561939342
LAVA RED,3208263,5,XL,Received it on time Satisfactory Customer Service Good quality Cute,1616683467
LAVA RED,3208263,5,L,well... you know I am a blood lover! lol the tongue makes it look like a vampire is about to like my boob but I still find it funny and crazy,1606349996
LAVA RED,3208263,5,XL,it's a good fit and the design is awesome and badass,1572718620
LAVA RED,3208263,5,L,I paid for this sweater and it never came in the mail,1538440859
multicolor,8154181,5,L,NiceGood quality love this sweatshirt. Wear it all the time,1623530662
MIDNIGHT BLUE,4577470,5,2XL,very small,1641772110
multicolor,3286549,5,L,"#True to size and fits well##Looks exaclty like the pictures##Good quality, great buy!##The fabric feels great##Received the item on time#",1668001649
multicolor,3286549,5,L,Good quality,1603086451
BLACK,3286563,5,M,Super fun print and very comfortable. I wasn't expecting the print to be on the front and the back and the material isn't what I was expecting for a hoodie. I am pleased non the less!,1602557496
YELLOW,2284583,5,2XL,great graphics soft comfy.,1573839193
YELLOW,2284583,5,XL,Satisfactory Customer Service great I love it,1560715350
YELLOW,2284583,5,3XL,thanks,1542557701
YELLOW,2284583,5,M,Love love love this sweater I’d recommend jus buy one size up,1535057644
GRAY,1726231,5,S,"Looks exactly like the picture, it is very cozy, thick and perfect for a cold winter. I recommand it!",1671015284
GRAY,1726231,5,M,good pruduct,1565857432
GRAY,1726227,5,XL,NiceReceived it on timeGood qualitySatisfactory Customer Service,1677410729
multicolor,4577473,5,M,very small,1641772100
multicolor,4577473,5,2XL,nice and comfy,1577155156
BLACK,969334,4,XL,"It's an alright hoodie. Fits well, is comfortable, and I like the look. THe hood is just a bit too small, but it's all good if you wear it fashionably",1492399971
ORANGE,1612561,5,XL,"vibrant colours and comfy, what more could you ask for",1678914642
ORANGE,1612561,5,2XL,NiceCuteMy favorite design 🙂❤️‍🔥✌🏻,1630048718
RED,2216677,5,XL,Received it on timeGood quality,1682782487
BLACK,2216677,5,M,This hoodie is super sharp looking and is very warm.  One of my favorite purchases so far.,1636843015
BLACK,2216677,5,M,Cute,1626344228
GRAY/RED,2816182,5,XL,Received it on timeGood quality,1626669740
GRAY/RED,2816182,4,L,not as thick as I thought it would be more like a long sleeve shirt! is comfy tho!,1591391377
GRAY/RED,2816182,5,XL,this shirt is a nice fit. bought it for my husband. he didnt like it online but wears it frequently it looks good. well made simple shirt.,1574979830
GRAY/RED,2816182,5,XL,really nice!,1573898323
RED,2696745,5,L,"My favorite,",1579955546
COLORMIX,2764755,5,L,Nice,1643658339
COLORMIX,2764755,5,XL,I thought it would be thick like a hoodie but it's still great.,1577043452
COLORMIX,2764755,5,XL,bestie that i bought this for adores it and always thanks me bc he says it comfy and It just looks good on him with anything he wears shorts pants dressy or casual it's an a+,1576981375
BLACK,3383597,5,L,"Received it on time.  I had to get a large because medium wasn't available,  but the piece looks just fine",1677582020
BLACK,3383597,5,M,Perfect!,1590091493
